date,GSPC/HKD
2007-09-21,11876.285425
2007-09-24,11800.350598144532
2007-09-25,11789.024838476562
2007-09-26,11845.19172524414
2007-09-27,11881.824319885254
2007-09-28,11869.717875
2007-10-01,12020.036991503906
2007-10-02,12004.632771899414
2007-10-03,11947.987929748535
2007-10-04,11971.049578796386
2007-10-05,12080.823533898925
2007-10-08,12045.536331054687
2007-10-09,12144.781614440919
2007-10-10,12119.298327758788
2007-10-11,12053.828051049804
2007-10-12,12113.321178710938
2007-10-15,12007.148327148438
2007-10-16,11933.45431923828
2007-10-17,11950.15838828125
2007-10-18,11936.851723388672
2007-10-19,11631.083041845703
2007-10-22,11674.960957397461
2007-10-23,11778.493784069824
2007-10-24,11749.282741845704
2007-10-25,11737.205949218749
2007-10-26,11899.64845107422
2007-10-29,11943.211240625
2007-10-30,11866.017559375
2007-10-31,12008.31478984375
2007-11-01,11698.705965576171
2007-11-02,11711.713924401856
2007-11-05,11660.895400134277
2007-11-06,11804.440620654297
2007-11-07,11457.451452087402
2007-11-08,11459.552959765626
2007-11-09,11312.693020019531
2007-11-12,11217.40109263916
2007-11-13,11533.084835229492
2007-11-14,11456.259031652833
2007-11-15,11294.59087001953
2007-11-16,11356.582571972656
2007-11-19,11147.257576904296
2007-11-20,11207.488239892578
2007-11-21,11024.879260986329
2007-11-23,11202.8828203125
2007-11-26,10950.282202026368
2007-11-27,11118.056282958985
2007-11-28,11439.111990087891
2007-11-29,11445.297299853515
2007-11-30,11532.156154052735
2007-12-03,11467.35454425049
2007-12-04,11395.7195203125
2007-12-05,11576.692533129883
2007-12-06,11746.39888564453
2007-12-07,11727.62123840332
2007-12-10,11820.394603417968
2007-12-11,11524.340305407715
2007-12-12,11594.361120422363
2007-12-13,11603.495785461426
2007-12-14,11447.220514233399
2007-12-17,11271.802820324707
2007-12-18,11350.589823632812
2007-12-19,11332.9641
2007-12-20,11391.418165905761
2007-12-21,11580.42060126953
2007-12-24,11680.240803881836
2007-12-26,11691.932354833983
2007-12-27,11520.66360541992
2007-12-28,11540.20576977539
2007-12-31,11451.00534576416
2008-01-02,11305.503619018555
2008-01-03,11297.399522827149
2008-01-04,11014.101950097656
2008-01-07,11048.47030703125
2008-01-08,10845.98388486328
2008-01-09,11001.782513122558
2008-01-10,11081.840416125488
2008-01-11,10937.062782470703
2008-01-14,11053.689624999999
2008-01-15,10769.338194213868
2008-01-16,10705.466819335938
2008-01-17,10405.48295
2008-01-18,10346.022910546875
2008-01-22,10234.7429
2008-01-23,10448.97754942627
2008-01-24,10558.990245544433
2008-01-25,10389.003582629393
2008-01-28,10569.5530390625
2008-01-29,10632.47942109375
2008-01-30,10578.301239160157
2008-01-31,10749.381860742187
2008-02-01,10878.276036584473
2008-02-04,10770.809827038574
2008-02-05,10424.856466247558
2008-02-06,10347.238134106445
2008-02-07,10427.630884594728
2008-02-08,10386.325497753907
2008-02-11,10439.321866064454
2008-02-12,10519.759025756837
2008-02-13,10662.597043359376
2008-02-14,10522.052087731934
2008-02-15,10529.7869248291
2008-02-19,10523.991056591796
2008-02-20,10608.098225512695
2008-02-21,10469.58618046875
2008-02-22,10548.30420180664
2008-02-25,10694.690360668945
2008-02-26,10765.360177441407
2008-02-27,10742.903844042969
2008-02-28,10643.286177978516
2008-02-29,10353.365941992188
2008-03-03,10363.549695935058
2008-03-04,10327.422
2008-03-05,10389.522619628906
2008-03-06,10156.243143859863
2008-03-07,10067.850715991211
2008-03-10,9919.934272961425
2008-03-11,10284.826195129395
2008-03-12,10191.523019091797
2008-03-13,10240.617003955078
2008-03-14,10023.661523986817
2008-03-17,9910.50093046875
2008-03-18,10345.838054077149
2008-03-19,10093.91742163086
2008-03-20,10339.46639494629
2008-03-24,10499.09670197754
2008-03-25,10523.691443041993
2008-03-26,10436.40547199707
2008-03-27,10315.075755981445
2008-03-28,10233.989636035156
2008-03-31,10294.176909985352
2008-04-01,10670.688222290039
2008-04-02,10648.546079125976
2008-04-03,10667.883873486328
2008-04-04,10677.060670214843
2008-04-07,10692.910428320312
2008-04-08,10636.464472265625
2008-04-09,10551.883370922851
2008-04-10,10595.963780273438
2008-04-11,10381.945659692383
2008-04-14,10351.730173425292
2008-04-15,10400.814724633789
2008-04-16,10636.276493554687
2008-04-17,10641.536424609374
2008-04-18,10836.231677490234
2008-04-21,10818.842054492186
2008-04-22,10723.112745361328
2008-04-23,10755.864803649903
2008-04-24,10818.49073560791
2008-04-25,10891.409877685546
2008-04-28,10876.744802966308
2008-04-29,10839.873151367186
2008-04-30,10798.595398620606
2008-05-01,10983.831957617187
2008-05-02,11020.64374029541
2008-05-05,10969.695485888671
2008-05-06,11051.932952099609
2008-05-07,10853.690161376953
2008-05-08,10895.1955546875
2008-05-09,10822.61462438965
2008-05-12,10941.888263415527
2008-05-13,10938.380752539062
2008-05-14,10986.139606567383
2008-05-15,11103.133796081544
2008-05-16,11117.87234456787
2008-05-19,11127.57137508545
2008-05-20,11025.085550439453
2008-05-21,10849.06747626953
2008-05-22,10876.626984558106
2008-05-23,10735.281465063477
2008-05-27,10814.457514416505
2008-05-28,10856.34043720703
2008-05-29,10911.182160205079
2008-05-30,10928.705596105958
2008-06-02,10814.046156958007
2008-06-03,10752.558440551757
2008-06-04,10751.524578808594
2008-06-05,10960.857111181642
2008-06-06,10624.734131396484
2008-06-09,10634.392444262696
2008-06-10,10610.095162353517
2008-06-11,10429.375529736328
2008-06-12,10470.146102844239
2008-06-13,10626.458630908202
2008-06-16,10622.693514404296
2008-06-17,10549.682975439453
2008-06-18,10440.804821289063
2008-06-19,10482.667768945312
2008-06-20,10285.521518176269
2008-06-23,10290.944
2008-06-24,10261.31947998047
2008-06-25,10322.338122241212
2008-06-26,10013.831105529785
2008-06-27,9974.94350209961
2008-06-30,9982.08
2008-07-01,10022.298266601561
2008-07-02,9836.828504296875
2008-07-03,9848.09439038086
2008-07-07,9768.895074072265
2008-07-08,9937.407019042968
2008-07-09,9711.319860839843
2008-07-10,9780.578301306152
2008-07-11,9673.847526782227
2008-07-14,9583.811130981445
2008-07-15,9473.018009509276
2008-07-16,9714.056957739258
2008-07-17,9827.596845178223
2008-07-18,9832.421942907715
2008-07-21,9824.598
2008-07-22,9955.8751
2008-07-23,10000.312229003906
2008-07-24,9769.311288671875
2008-07-25,9809.899196166993
2008-07-28,9626.604717919921
2008-07-29,9856.496579003906
2008-07-30,10020.567152197265
2008-07-31,9887.972060095215
2008-08-01,9836.59397631836
2008-08-04,9747.14921520996
2008-08-05,10026.946582104492
2008-08-06,10061.482897705078
2008-08-07,9880.283253845215
2008-08-08,10124.906940490722
2008-08-11,10193.896120544434
2008-08-12,10070.279084094238
2008-08-13,10039.760296875
2008-08-14,10098.171598498535
2008-08-15,10142.187118530273
2008-08-18,9988.550869274903
2008-08-19,9893.735125341796
2008-08-20,9955.942061132813
2008-08-21,9974.520951293945
2008-08-22,10086.525158862305
2008-08-25,9891.233085131837
2008-08-26,9926.678646240234
2008-08-27,10006.432550854493
2008-08-28,10153.758839294433
2008-08-29,10013.385787976074
2008-09-02,9975.472054870605
2008-09-03,9956.063671484375
2008-09-04,9656.426198901368
2008-09-05,9698.093472412109
2008-09-08,9889.142641699218
2008-09-09,9552.40258618164
2008-09-10,9608.187448632812
2008-09-11,9740.217185766602
2008-09-12,9760.881389233398
2008-09-15,9291.490429614258
2008-09-16,9437.438850146484
2008-09-17,8995.67356295166
2008-09-18,9388.216338989258
2008-09-19,9761.760882202148
2008-09-22,9377.519817468261
2008-09-23,9218.923464697265
2008-09-24,9210.059317077636
2008-09-25,9406.090719812011
2008-09-26,9435.115633886719
2008-09-29,8587.368529077148
2008-09-30,9058.30155423584
2008-10-01,9019.695065185548
2008-10-02,8660.74152770996
2008-10-03,8540.797102246093
2008-10-06,8210.76714580078
2008-10-07,7743.197523193359
2008-10-08,7649.044058959961
2008-10-09,7063.526843334961
2008-10-10,6980.91439855957
2008-10-13,7785.092795568848
2008-10-14,7742.062650756836
2008-10-15,7043.022928344727
2008-10-16,7341.078881188964
2008-10-17,7294.153265332032
2008-10-20,7641.875729333496
2008-10-21,7404.789070355225
2008-10-22,6953.452991162109
2008-10-23,7041.4848264160155
2008-10-24,6797.860992431641
2008-10-27,6581.931303497315
2008-10-28,7290.645493701172
2008-10-29,7209.313816162109
2008-10-30,7395.247207159424
2008-10-31,7507.8125
2008-11-03,7488.921535394287
2008-11-04,7794.5625
2008-11-05,7384.0629283691405
2008-11-06,7012.910525842285
2008-11-07,7215.265523315429
2008-11-10,7123.877670288086
2008-11-11,6967.042384606934
2008-11-12,6605.921515386963
2008-11-13,7062.67958770752
2008-11-14,6768.084658709717
2008-11-17,6593.737875
2008-11-18,6658.437698156738
2008-11-19,6251.317764453125
2008-11-20,5831.936726922608
2008-11-21,6200.712745068359
2008-11-24,6602.805196075439
2008-11-25,6649.145302600097
2008-11-26,6882.360519213867
2008-11-28,6946.128796313476
2008-12-01,6326.68874331665
2008-12-02,6579.465815075684
2008-12-03,6749.802256298828
2008-12-04,6551.722602905274
2008-12-05,6789.8929847656245
2008-12-08,7050.357034606934
2008-12-09,6887.10350055542
2008-12-10,6969.109924316406
2008-12-11,6770.322708129883
2008-12-12,6817.8193756347655
2008-12-15,6731.678127764892
2008-12-16,7077.144943237305
2008-12-17,7009.16442555542
2008-12-18,6860.743171044922
2008-12-19,6880.981249841308
2008-12-22,6755.829841845703
2008-12-23,6689.403475872803
2008-12-24,6728.683579223633
2008-12-26,6764.723585388184
2008-12-29,6738.439577545166
2008-12-30,6902.371049523926
2008-12-31,7000.458475
2009-01-02,7221.915805389404
2009-01-05,7189.221514624023
2009-01-06,7247.196544647217
2009-01-07,7028.260324255371
2009-01-08,7055.956701513672
